Creation Time,Marketplace Type,Body,Currency Code,Currency Amount,Billing Time Unit,Free Consultation included
Sun Mar 20 03:39:59 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 03:39:59 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 03:39:59 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 03:39:59 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 03:39:59 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 03:39:59 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 03:39:59 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 03:39:59 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 03:39:59 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 03:39:59 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 04:40:11 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 04:40:11 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 04:40:11 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 04:40:11 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 04:40:11 UTC 2022,SERVICE_MARKETPLACE,"Thanks for reaching out. It’s my passion to help others find the career that they truly deserve especially in unprecedented times like these.    Sometimes we all need an extra boost, and that’s where I come in.    Send over a copy of your current resume for a courtesy review to Robert@CareerServiceStation.com and/or setup a courtesy call at http://meetme.so/RobertBraathe    Robert ",,,,true
Sun Mar 20 04:40:11 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 04:40:11 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 04:40:11 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 04:40:12 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 04:40:12 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 05:40:11 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 05:40:11 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 05:40:11 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 05:40:11 UTC 2022,SERVICE_MARKETPLACE,"Two questions I am often asked:  Does a writer need to be in my industry to be effective?  What will make my resume stand out? It starts with having a professional resume writer who can capture YOUR experiences, turning them into milestones, allowing YOUR skills and expertise to be the focus, while telling YOUR story in an elevated manner. I specialize in all levels and industries, designing the resume and wordsmithing the content to showcase YOUR capabilities. Also, I work within the guidelines of Applicant Tracking Software. If you are unaware, ATS is what is causing so many qualified people to be discounted before even getting an interview. HR often uses ATS to pre-screen and return a compatibility score on candidates. It’s an extremely sensitive algorithm that tells a human if you’re the right candidate. The program ISN’T able to read between the lines to understand your skills and expertise. Someone who can work within that process is vital to your success. That way you are not defeated before you start. SPECIAL $25 Off / Purchase by  March 28 th!! Please check my LinkedIn for Testimonials: www.linkedin.com/in/lenny-willoughby/ Some packages I offer: ($25 already  off on these prices.) $149 Starter Resume (1 edit) $149 LinkedIn Optimization Only $219 Premium / Cover Letter & Resume $259 Premium Pro / Resume & LinkedIn $297 Elite / Cover Letter, Resume, & LinkedIn Profile Optimization Let’s schedule a consultation CALL to review your resume and expectations! It’s FREE!",,,,false
Sun Mar 20 05:40:12 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 05:40:12 UTC 2022,SERVICE_MARKETPLACE,"Hi Nikhil,  Thank you for your inquiry! I would love to help you design your résumé and LinkedIn profile!   Through thought-provoking questions, I will listen to you and help you identify successes and value in your career, which will be transformed into an impressive résumé and LinkedIn profile in market language to describe you professionally and elegantly!    Clients experience a significant increase in traffic and recruiter contact after our LinkedIn optimization! I have helped professionals secure positions at Fortune 500 companies like Oracle, Hershey, Disney, Microsoft, medium-sized companies, and startups.    You can be the next hired one! Let's start this journey towards success! Please book a complimentary meeting (free of charge) using the link below, and let's talk about your goals.    Scheduler link: https://app.acuityscheduling.com/schedule.php?owner=18881111& appointmentType%=D12678033    Hope to talk to you soon!    Erica Yanney  Certified Professional Résumé Writer  ICF Associate Certified Coach  Certified Professional Career Coach Certified Professional Transformational Coach    (W) www.altitudecareercoaching.com  (E) ericayanney@altitudecareercoaching.com  (C) 484-363-0258     ",,,,true
Sun Mar 20 05:40:12 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 05:40:12 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 05:40:12 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 05:40:12 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 06:40:13 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 06:40:13 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 06:40:13 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 06:40:14 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 06:40:14 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 06:40:14 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 06:40:14 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 06:40:14 UTC 2022,SERVICE_MARKETPLACE,"Good morning!  I have been writing and revising resumes most of my career!  It’s always challenging to write your own resume since we tend to lose perspective on what we do and have done that sets us apart. It’s always helpful to have an objective “set of eyes” help you present your best professional self.   I will work with you to understand your unique skills, talents, and accomplishments, and present them in a contemporary format.  We will then review the draft to ensure that the final product represents you in the strongest possible way!  Many job seekers undersell themselves and I will work with you to identify and spotlight your strongest skill sets and what makes you “uniquely” you and move the narrative to the next role you seek.   I invite you to view my services page and see what others have experienced!  https://www.linkedin.com/services/page/a806743078b0914a34  My service charge will be $425.  Happy to answer questions and look forward to working together!  Best,  Sharon Goldstein, M.S., CPC SFG Consulting, LLC sfgconsultingllc.com",,,,true
Sun Mar 20 06:40:14 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 06:40:14 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 07:40:15 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 07:40:15 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 07:40:15 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 07:40:15 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 07:40:15 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 07:40:15 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 07:40:15 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 07:40:15 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 07:40:15 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 07:40:15 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 08:40:20 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 08:40:20 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 08:40:20 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 08:40:20 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 08:40:20 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 08:40:20 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 08:40:20 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 08:40:20 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 08:40:20 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 08:40:20 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 09:40:22 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 09:40:22 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 09:40:23 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 09:40:23 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 09:40:23 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 09:40:23 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 09:40:23 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 09:40:23 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 09:40:23 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 09:40:23 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 10:40:23 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 10:40:23 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 10:40:23 UTC 2022,SERVICE_MARKETPLACE,"Hey there!    I wanted to take a moment to submit my proposal to you.    As a former Fortune 500 recruiter and now career coach of over 3 years, I’ve helped hundreds of clients revamp their job marketing materials, resume, cover letter, and LinkedIn profile - all 3 must be exceptional to get the attention of employers, in today’s complex job search.    I’d love to see if I could be of help in the next step of your career.    Feel free to schedule a free resume review with me here: https://bit.ly/resumereviewfree   All my best,     Melissa Carvalho  melissabcarvalho.com",,,,true
Sun Mar 20 10:40:23 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 10:40:23 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 10:40:23 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 10:40:23 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 10:40:23 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 10:40:23 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 10:40:23 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 11:40:28 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 11:40:29 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 11:40:29 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 11:40:29 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 11:40:29 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 11:40:29 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 11:40:29 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 11:40:29 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 11:40:29 UTC 2022,SERVICE_MARKETPLACE,,,,,
Sun Mar 20 11:40:29 UTC 2022,SERVICE_MARKETPLACE,,,,,
